franchise,property_name,product_line,manufacturer,release_year,wave,item_name,release_type,source_name,source_url,notes,image_url,packaged_image_url
Transformers,Transformers Universe,Universe,Hasbro/Takara,2003,Combiners - Series I Protectobots (Defensor),Defensor KB Toys Exclusive,figure,Transformerland,https://www.transformerland.com/wiki/toy-info/transformers-universe-combiners-series-i-protectobots-defensor-kb-toys-exclusive-defensor/23012/,Supplemental expanded Transformers import from Transformerland; release year is the line launch year when item-level year is not exposed.,https://www.transformerland.com/image/thumbnails/23013.jpg,
Transformers,Transformers Universe,Universe,Hasbro/Takara,2003,Universe,First Aid KB Toys Exclusive,figure,Transformerland,https://www.transformerland.com/wiki/toy-info/transformers-universe-combiners-series-i-protectobots-defensor-kb-toys-exclusive-first-aid/23049/,Supplemental expanded Transformers import from Transformerland; release year is the line launch year when item-level year is not exposed.,https://www.transformerland.com/image/thumbnails/23052.jpg,
Transformers,Transformers Universe,Universe,Hasbro/Takara,2003,Universe,Hot Spot KB Toys Exclusive,figure,Transformerland,https://www.transformerland.com/wiki/toy-info/transformers-universe-combiners-series-i-protectobots-defensor-kb-toys-exclusive-hot-spot/23073/,Supplemental expanded Transformers import from Transformerland; release year is the line launch year when item-level year is not exposed.,https://www.transformerland.com/image/thumbnails/23076.jpg,
Transformers,Transformers Universe,Universe,Hasbro/Takara,2003,Universe,Prowl KB Toys Exclusive,figure,Transformerland,https://www.transformerland.com/wiki/toy-info/transformers-universe-combiners-series-i-protectobots-defensor-kb-toys-exclusive-prowl/23183/,Supplemental expanded Transformers import from Transformerland; release year is the line launch year when item-level year is not exposed.,https://www.transformerland.com/image/thumbnails/23186.jpg,
Transformers,Transformers Universe,Universe,Hasbro/Takara,2003,Universe,Red Alert KB Toys Exclusive,figure,Transformerland,https://www.transformerland.com/wiki/toy-info/transformers-universe-combiners-series-i-protectobots-defensor-kb-toys-exclusive-red-alert/23250/,Supplemental expanded Transformers import from Transformerland; release year is the line launch year when item-level year is not exposed.,https://www.transformerland.com/image/thumbnails/23253.jpg,
Transformers,Transformers Universe,Universe,Hasbro/Takara,2003,Universe,Streetwise KB Toys Exclusive,figure,Transformerland,https://www.transformerland.com/wiki/toy-info/transformers-universe-combiners-series-i-protectobots-defensor-kb-toys-exclusive-streetwise/23389/,Supplemental expanded Transformers import from Transformerland; release year is the line launch year when item-level year is not exposed.,https://www.transformerland.com/image/thumbnails/23392.jpg,
Transformers,Transformers Universe,Universe,Hasbro/Takara,2003,Combiners - Series II Constructicons (Constructicon Devastator),Bonecrusher KB Toys Exclusive,figure,Transformerland,https://www.transformerland.com/wiki/toy-info/transformers-universe-combiners-series-ii-constructicons-constructicon-devastator-kb-toys-exclusive-bonecrusher/23832/,Supplemental expanded Transformers import from Transformerland; release year is the line launch year when item-level year is not exposed.,https://www.transformerland.com/image/thumbnails/23835.jpg,
Transformers,Transformers Universe,Universe,Hasbro/Takara,2003,Combiners - Series II Constructicons (Constructicon Devastator),Buckethead KB Toys Exclusive,figure,Transformerland,https://www.transformerland.com/wiki/toy-info/transformers-universe-combiners-series-ii-constructicons-constructicon-devastator-kb-toys-exclusive-buckethead/23844/,Supplemental expanded Transformers import from Transformerland; release year is the line launch year when item-level year is not exposed.,https://www.transformerland.com/image/thumbnails/23847.jpg,
Transformers,Transformers Universe,Universe,Hasbro/Takara,2003,Universe,Constructicon Devastator KB Toys Exclusive,figure,Transformerland,https://www.transformerland.com/wiki/toy-info/transformers-universe-combiners-series-ii-constructicons-constructicon-devastator-kb-toys-exclusive-constructicon-devastator/23925/,Supplemental expanded Transformers import from Transformerland; release year is the line launch year when item-level year is not exposed.,https://www.transformerland.com/image/thumbnails/23926.jpg,
Transformers,Transformers Universe,Universe,Hasbro/Takara,2003,Universe,Hightower KB Toys Exclusive,figure,Transformerland,https://www.transformerland.com/wiki/toy-info/transformers-universe-combiners-series-ii-constructicons-constructicon-devastator-kb-toys-exclusive-hightower/23856/,Supplemental expanded Transformers import from Transformerland; release year is the line launch year when item-level year is not exposed.,https://www.transformerland.com/image/thumbnails/23859.jpg,
