Item,ReleaseType,WaveName,ReleaseYear,ProductLine,PropertyName,Manufacturer
Metal Mutant Cycle,Vehicle,Wave 8,1995,TMNT Vintage Playmates,Teenage Mutant Ninja Turtles,Playmates
Metal Mutants: Donatello with Lion Spirit Armor,Figure,Wave 8,1995,TMNT Vintage Playmates,Teenage Mutant Ninja Turtles,Playmates
Metal Mutants: Leonardo with Dragon Spirit Armor,Figure,Wave 8,1995,TMNT Vintage Playmates,Teenage Mutant Ninja Turtles,Playmates
Metal Mutants: Michael Angelo with Beetle Spirit Armor,Figure,Wave 8,1995,TMNT Vintage Playmates,Teenage Mutant Ninja Turtles,Playmates
Metal Mutants: Raphael with Phoenix Spirit Armor,Figure,Wave 8,1995,TMNT Vintage Playmates,Teenage Mutant Ninja Turtles,Playmates
Metal Mutants: Shredder with Tiger Spirit Armor,Figure,Wave 8,1995,TMNT Vintage Playmates,Teenage Mutant Ninja Turtles,Playmates
Metalized Motorin' Combo,Mini,Wave 8,1995,TMNT Vintage Playmates,Teenage Mutant Ninja Turtles,Playmates
Metalized Turtle Travelin' Combo,Mini,Wave 8,1995,TMNT Vintage Playmates,Teenage Mutant Ninja Turtles,Playmates
Metallized Series Leo Lair Playset,Mini,Wave 8,1995,TMNT Vintage Playmates,Teenage Mutant Ninja Turtles,Playmates
Metallized Series Raph Feudal Castle Playset,Mini,Wave 8,1995,TMNT Vintage Playmates,Teenage Mutant Ninja Turtles,Playmates
Metallized Series Tokka Technodrome Playset,Mini,Wave 8,1995,TMNT Vintage Playmates,Teenage Mutant Ninja Turtles,Playmates
Michael Angelo's Adventurer Playset,Mini,Wave 8,1995,TMNT Vintage Playmates,Teenage Mutant Ninja Turtles,Playmates
Michael Angelo's Football Playset,Mini,Wave 8,1995,TMNT Vintage Playmates,Teenage Mutant Ninja Turtles,Playmates
Michael Angelo's Space Station Playset,Mini,Wave 8,1995,TMNT Vintage Playmates,Teenage Mutant Ninja Turtles,Playmates
Mighty Muscle Combo,Mini,Wave 8,1995,TMNT Vintage Playmates,Teenage Mutant Ninja Turtles,Playmates
Mini Mutant Party Wagon Playset,Mini,Wave 8,1995,TMNT Vintage Playmates,Teenage Mutant Ninja Turtles,Playmates
Mini Mutant Super Trailer,Mini,Wave 8,1995,TMNT Vintage Playmates,Teenage Mutant Ninja Turtles,Playmates
Mutant Combat Combo,Mini,Wave 8,1995,TMNT Vintage Playmates,Teenage Mutant Ninja Turtles,Playmates
Mutant Military Combo,Mini,Wave 8,1995,TMNT Vintage Playmates,Teenage Mutant Ninja Turtles,Playmates
Ninja Shooters Donatello,Figure,Wave 8,1995,TMNT Vintage Playmates,Teenage Mutant Ninja Turtles,Playmates
