catalog_item_id,franchise,property_name,product_line,release_year,wave,item_name,column,kind,old_url,new_url,source,source_title,source_page,source_sku,confidence,downloaded,content_type,bytes,error,db_rows_updated
2477309,Robotech,Robotech,Vintage Robotech,1986,"6"" Scale",Miriya,packaged_image_url,packaged,https://www.figurerealm.com/galleries/robotechmatchbox/thumb_Miriya-6-Front.jpg,https://collectorarchive.com/pub/media/catalog/product/cache/99714ade6c281579c1466b127cb69403/2/0/20232916_1_1.jpg,Collector Archive,1986 Matchbox Robotech 6 Inch Series Carded Action Figure - Miriya,https://collectorarchive.com/rbt041,RBT041,exact-normalized-title+slot,True,image/jpeg,13009,,1
2477325,Robotech,Robotech,Vintage Robotech,1986,Accessories,Tactical Battle Pod,image_url,loose,https://www.figurerealm.com/galleries/robotechmatchbox/thumb_TacticalBattlePod.jpg,https://collectorarchive.com/pub/media/catalog/product/placeholder/default/logo_coming_soon.jpg,Collector Archive,1986 Matchbox Robotech Loose Vehicle - Tactical Battle Pod,https://collectorarchive.com/rbt049,RBT049,exact-normalized-title+slot,True,image/jpeg,32029,,1
2477331,Robotech,Robotech,Vintage Robotech,1986,Basic Series,Corg,packaged_image_url,packaged,https://www.figurerealm.com/galleries/robotechmatchbox/thumb_Corg-Front.jpg,https://collectorarchive.com/pub/media/catalog/product/cache/99714ade6c281579c1466b127cb69403/1/0/10171770_1_1.jpg,Collector Archive,1986 Matchbox Robotech Carded Action Figure - Corg,https://collectorarchive.com/rbt011,RBT011,exact-normalized-title+slot,True,image/jpeg,12209,,1
2477335,Robotech,Robotech,Vintage Robotech,1986,Basic Series,Max Sterling,packaged_image_url,packaged,https://www.figurerealm.com/galleries/robotechmatchbox/thumb_MaxSterling-Front.jpg,https://collectorarchive.com/pub/media/catalog/product/cache/99714ade6c281579c1466b127cb69403/1/0/10171713_1_1.jpg,Collector Archive,1986 Matchbox Robotech Carded Action Figure - Max Sterling,https://collectorarchive.com/rbt007,RBT007,exact-normalized-title+slot,True,image/jpeg,12445,,1
2477337,Robotech,Robotech,Vintage Robotech,1986,Basic Series,Miriya (Black),packaged_image_url,packaged,https://www.figurerealm.com/galleries/robotechmatchbox/thumb_MiriyaBlack-Front.jpg,https://collectorarchive.com/pub/media/catalog/product/cache/99714ade6c281579c1466b127cb69403/1/0/10165834_1_1.jpg,Collector Archive,1986 Matchbox Robotech Carded Action Figure - Miriya (Black),https://collectorarchive.com/rbt001,RBT001,exact-normalized-title+slot,True,image/jpeg,13409,,1
2477338,Robotech,Robotech,Vintage Robotech,1986,Basic Series,Miriya (Red),packaged_image_url,packaged,https://www.figurerealm.com/galleries/robotechmatchbox/thumb_MiriyaRed-Front.jpg,https://collectorarchive.com/pub/media/catalog/product/cache/99714ade6c281579c1466b127cb69403/1/0/10171755_1_1.jpg,Collector Archive,1986 Matchbox Robotech Carded Action Figure - Miriya (Red),https://collectorarchive.com/rbt005,RBT005,exact-normalized-title+slot,True,image/jpeg,12730,,1
2477339,Robotech,Robotech,Vintage Robotech,1986,Basic Series,Rand,packaged_image_url,packaged,https://www.figurerealm.com/galleries/robotechmatchbox/thumb_Rand-Front.jpg,https://collectorarchive.com/pub/media/catalog/product/cache/99714ade6c281579c1466b127cb69403/2/0/20228687_1_1.jpg,Collector Archive,1986 Matchbox Robotech Carded Action Figure - Rand,https://collectorarchive.com/rbt009,RBT009,exact-normalized-title+slot,True,image/jpeg,13129,,1
2477341,Robotech,Robotech,Vintage Robotech,1986,Basic Series,Robotech Master,packaged_image_url,packaged,https://www.figurerealm.com/galleries/robotechmatchbox/thumb_RobotechMaster-Front.jpg,https://collectorarchive.com/pub/media/catalog/product/cache/99714ade6c281579c1466b127cb69403/1/0/10171771_1_1.jpg,Collector Archive,1986 Matchbox Robotech Carded Action Figure - Robotech Master,https://collectorarchive.com/rbt014,RBT014,exact-normalized-title+slot,True,image/jpeg,12200,,1
2477342,Robotech,Robotech,Vintage Robotech,1986,Basic Series,Rook Bartley,packaged_image_url,packaged,https://www.figurerealm.com/galleries/robotechmatchbox/thumb_RookBartley-Front.jpg,https://collectorarchive.com/pub/media/catalog/product/cache/99714ade6c281579c1466b127cb69403/1/0/10212264_1_1.jpg,Collector Archive,1992 Harmony Gold Robotech Carded Action Figure - Rook Bartley,https://collectorarchive.com/rbt039,RBT039,exact-normalized-title+slot,True,image/jpeg,12336,,1
2477425,Robotech,Robotech Alpha,Robotech Alpha,1985,Basic Series,Rook Bartley,packaged_image_url,packaged,https://www.figurerealm.com/galleries/robotechalpha/thumb_Alpha-Red-Front.jpg,https://collectorarchive.com/pub/media/catalog/product/cache/99714ade6c281579c1466b127cb69403/1/0/10212264_1_1.jpg,Collector Archive,1992 Harmony Gold Robotech Carded Action Figure - Rook Bartley,https://collectorarchive.com/rbt039,RBT039,exact-normalized-title+slot,True,image/jpeg,12336,,1
2518205,Robotech,Genesis Climber MOSPEADA,Excite Robotech Alpha,1985,Basic Series,Rook Bartley,packaged_image_url,packaged,https://www.figurerealm.com/galleries/robotechalpha/thumb_Alpha-Red-Front.jpg,https://collectorarchive.com/pub/media/catalog/product/cache/99714ade6c281579c1466b127cb69403/1/0/10212264_1_1.jpg,Collector Archive,1992 Harmony Gold Robotech Carded Action Figure - Rook Bartley,https://collectorarchive.com/rbt039,RBT039,exact-normalized-title+slot,True,image/jpeg,12336,,1
