"InventoryID","Item","Type","Property","Line","Wave","ReleaseYear","Complete","Sealed","Boxed","Condition","Notes"
"264","S.W.A.T. Battle Pack","Vehicle","Teenage Mutant Ninja Turtles","TMNT 2003","Wave 6","2004","True","True","True","Near Mint","Some Edgewear"
"273","Fugitoid","Figure","Teenage Mutant Ninja Turtles","TMNT 2003","Wave 5","2004","True","True","True","Near Mint","Mail away signed by Peter Laird 2016"
"282","Spider Aracknor and Jersey Devil","Figure","Teenage Mutant Ninja Turtles","TMNT Movie Line","Wave 1","2007","True","True","True","Near Mint","Fading"
"287","MT-22","Vehicle","Teenage Mutant Ninja Turtles","TMNT 2003","Foreign","2003","True","True","True","Near Mint","RC ATV"
"289","Mini Ghost: Mini Shooter","Figure","Real Ghostbusters","Vintage Real Ghostbusters","Wave 3","1987","True","True","True","Very Good","Some creases"
"291","Ecto-1A","Vehicle","Real Ghostbusters","Vintage Real Ghostbusters","Wave 9","1990","True","False","True","Near Mint","Repro stickers"
"294","Green Ghost","Figure","Real Ghostbusters","Vintage Real Ghostbusters","Wave 1","1986","True","True","True","Mint","1987 packaging (known as slimer in the movie series ghostbusters)"
"300","Ghostzapper","Role Play","Real Ghostbusters","Vintage Real Ghostbusters","Wave 1","1986","True","False","True","Near Mint","Electronics working"
"303","Screaming Hero: Ray Stantz","Figure","Real Ghostbusters","Vintage Real Ghostbusters","Wave 5","1989","True","True","True","Very Good","Bubble lift"
"306","Super Fright Features: Peter Venkman","Figure","Real Ghostbusters","Vintage Real Ghostbusters","Wave 7","1989","True","True","True","Very Good","Bent card back"
"310","Monster: Zombie","Figure","Real Ghostbusters","Vintage Real Ghostbusters","Wave 5","1989","True","True","True","Very Good","Bubble lift"
"312","Haunted Human: Granny Gross","Figure","Real Ghostbusters","Vintage Real Ghostbusters","Wave 4","1988","True","True","True","Near Mint","Foreign realease sticker: Figuras del Terror (Auriken)"
"313","Dancing Slimer FM Radio","Accessory","Real Ghostbusters","Vintage Real Ghostbusters","Licenced Product","1986","True","True","True","Very Good","JPI Item # GB1900"
"314","AM/FM Headphone Radio","Accessory","Real Ghostbusters","Vintage Real Ghostbusters","Licenced Product","1986","True","True","True","Near Mint","JPI Item # GB1803"
"315","Stay Puffed Nightlight AM Radio","Accessory","Real Ghostbusters","Vintage Real Ghostbusters","Licenced Product","1986","True","True","True","Near Mint","JPI Item #GB1805"
"316","Gumball Machine Coin Bank","Accessory","Real Ghostbusters","Vintage Real Ghostbusters","Licenced Product","1986","True","True","True","Near Mint","Superior Item #3242"
"317","Ceiling Fan","Accessory","Real Ghostbusters","Vintage Real Ghostbusters","Licenced Product","1986","True","False","True","Near Mint","Complete with decals and light globe."
"324","Outlaw Skuzz","Figure","Bravestarr","Bravestarr","Bravestarr","1986","True","True","True","Mint","Unpunched"
"332","Deputy Fuzz","Figure","Bravestarr","Bravestarr","Bravestarr","1986","True","True","True","Mint","Unpunched"
"333","Laser-Fire Tex Hex","Figure","Bravestarr","Bravestarr","Bravestarr","1986","True","True","True","Mint","Unpunched"
"334","Lenticular Sheriff's Badge","Role Play","Bravestarr","Bravestarr","Bravestarr","1986","True","False","False","Near Mint","1986 Filmation Associates Promo Item"
"340","Palace Guard","Figure","Blackstar","Blackstar","Wave 1","1983","True","False","True","Very Good","Box in rough shape (bubble lift and bending)"
"349","Toothbrush and Stand","Accessory","Silverhawks","Silverhawks","Licenced Product","1987","True","True","True","Very Good","Featuring Quicksilver and Tally-Hawk; no scuff on figure; box has edgewear and creased plastic; Janex"
"350","Warning Detector Set","Role Play","Silverhawks","Silverhawks","Licenced Product","1987","True","True","True","Very Good","Largo Toys #86-134; Item is mint, card is worn."
"351","Birthday Invitations","Accessory","Silverhawks","Silverhawks","Licenced Product","1987","True","True","True","Mint","Amscan #49038"
"362","Mail Away Mumm-Ra (Mummy)","Figure","Thundercats","Vintage Thundercats","Wave 1","1985","True","False","True","Mint","With Original Brown Mailer"
"363","Mumm-Ra's Tomb Fortress","Playset","Thundercats","Vintage Thundercats","Wave 2","1986","False","False","False","Very Good","Missing two tails; includes Mumm-Ra figure"
"364","Thunder Tank Pencil Eraser","Accessory","Thundercats","Vintage Thundercats","Licensed Product","1985","True","True","True","Near Mint","Spindex Corp. #38114"
"365","Lion-o Clock with Cat's Layer","Accessory","Thundercats","Vintage Thundercats","Licensed Product","1985","True","False","False","Near Mint","Quartz Talking Alarm (alarm does not work)"
"372","Nordor","Playset","Masters of the Universe","New Adventures of He-Man","Wave 2","1990","True","False","True","Near Mint","French box; includes film strip"
"377","Artilla (Weaponstronic)","Figure","Masters of the Universe","New Adventures of He-Man","Wave 3","1991","True","True","True","Mint","Eurocard (Weaponstronic); Unpunched"
"394","Lookie","Figure","Masters of the Universe","Princess of Power","Wave 3","1987","True","True","True","Mint","Canadian Card"
"395","Angella","Figure","Masters of the Universe","Princess of Power","Wave 1","1985","True","True","True","Mint","Unpunched"
"397","Castaspella","Figure","Masters of the Universe","Princess of Power","Wave 1","1985","True","True","True","Mint","Unpunched"
"398","Scratch and Sound Catra","Figure","Masters of the Universe","Princess of Power","Wave 2","1986","True","True","True","Mint","European Card"
"404","Crystal Falls","Playset","Masters of the Universe","Princess of Power","Wave 2","1986","True","True","True","Near Mint","Italian Box"
"409","Webstor","Figure","Masters of the Universe","Vintage MOTU","Wave 3","1984","True","True","True","Near Mint","Unpunched"
"410","Kobra Khan","Figure","Masters of the Universe","Vintage MOTU","Wave 3","1984","True","True","True","Near Mint","Unpunched"
"412","Starburst She-Ra","Figure","Masters of the Universe","Princess of Power","Wave 2","1986","True","True","True","Very Good","Bubble lift"
"413","Mantena","Figure","Masters of the Universe","Vintage MOTU","Wave 4","1985","True","True","True","Good","Broken bubble"
"414","Dragstor","Figure","Masters of the Universe","Vintage MOTU","Wave 5","1986","True","True","True","Very Good","Creasing on box"
"415","Eternia","Playset","Masters of the Universe","Vintage MOTU","Wave 5","1986","True","False","True","Near Mint","Creasing on box; all accessories; original tracks have some issues; label flags are loose; original box"
"416","Cobra H.I.S.S.","Vehicle","G.I. Joe","Vintage G.I. Joe","Wave 2","1983","True","False","False","Near Mint","File card; Figure; Clear 788 sticker"
"417","Sky Striker","Vehicle","G.I. Joe","Vintage G.I. Joe","Wave 2","1983","True","False","True","Near Mint","Blueprints; file card; figure; 2 parachutes"
