Item,Type,Property,Line,Wave,OnHand
Vultura,Figure,Golden Girl,Golden Girl,Golden Girl,1
Rubee,Figure,Golden Girl,Golden Girl,Golden Girl,1
Onyx,Figure,Golden Girl,Golden Girl,Golden Girl,1
Moth Lady,Figure,Golden Girl,Golden Girl,Golden Girl,1
Jade,Figure,Golden Girl,Golden Girl,Golden Girl,1
Evening Enchantment: Jade,Fashion,Golden Girl,Golden Girl,Golden Girl,1
Dragon Queen,Figure,Golden Girl,Golden Girl,Golden Girl,1
Jem / Jerica,Figure,Jem,Vintage Jem,Wave 1,1
Glitter and Gold Jem/Jerica,Figure,Jem,Vintage Jem,Wave 2,1
Kreese (Breakaway Wall),Figure,Karate Kid,Karate Kid,Karate Kid,1
Thunderhawk,Vehicle,M.A.S.K.,M.A.S.K.,Wave 1,1
T-Bob and Scott Tracker,Multi-Pack,M.A.S.K.,M.A.S.K.,Wave 1,1
Razerback,Vehicle,M.A.S.K.,M.A.S.K.,Wave 3,1
Bulldog,Vehicle,M.A.S.K.,M.A.S.K.,Wave 3,1
Hard Knockin' Rockin' Ring Wrestling Arena,Playset,M.U.S.C.L.E.,Vintage M.U.S.C.L.E.,Wave 1,1
M182 Alice,Figure,Micromen,Micromen Command Series,Micromen Command Series,1
M151 East,Figure,Micromen,Micromen Command Series,Micromen Command Series,1
Talking PeeWee,Role Play,PeeWee's Playhouse,Vintage PeeWee,PeeWee's Playhouse,1
Pterri,Figure,PeeWee's Playhouse,Vintage PeeWee,PeeWee's Playhouse,1
PeeWee Herman,Figure,PeeWee's Playhouse,Vintage PeeWee,PeeWee's Playhouse,1
Large Pterri,Role Play,PeeWee's Playhouse,Vintage PeeWee,PeeWee's Playhouse,1
Large Chairry,Role Play,PeeWee's Playhouse,Vintage PeeWee,PeeWee's Playhouse,1
Zooli,Figure,Pirates of Darkwater,Pirates of Darkwater,Pirates of Darkwater,1
SWAT Eugene Tackleberry,Figure,Police Academy,Police Academy,Wave 2,1
Flunghi,Figure,Police Academy,Police Academy,Wave 2,1
Undercover Carey Mahoney,Figure,Police Academy,Police Academy,Wave 3,1
Snack Attack House,Figure,Police Academy,Police Academy,Wave 3,1
Sky Gliden Zed,Figure,Police Academy,Police Academy,Wave 3,1
Adam Power,Figure,Power Lords,Vintage Power Lords,Vintage,1
Ggripptogg,Figure,Power Lords,Vintage Power Lords,Vintage,1
Sydot the Supreme,Figure,Power Lords,Vintage Power Lords,Vintage,1
Bones,Figure,Power Rangers,Mighty Morphin Power Rangers,Wave 1,1
Blue Ranger,Figure,Power Rangers,Mighty Morphin Power Rangers,Wave 1,1
Baboo,Figure,Power Rangers,Mighty Morphin Power Rangers,Wave 1,1
King Sphinx,Figure,Power Rangers,Mighty Morphin Power Rangers,Wave 1,1
Tyrannosaurus Battle Bike,Vehicle,Power Rangers,Mighty Morphin Power Rangers,Wave 1,1
Saba the Tiger Sabre,Accessory,Power Rangers,Mighty Morphin Power Rangers,Wave 1,1
Pink Ranger,Figure,Power Rangers,Mighty Morphin Power Rangers,Wave 1,1
Pirantis Head,Figure,Power Rangers,Mighty Morphin Power Rangers,Wave 2,1
Killer Bite Slippery Shark,Figure,Power Rangers,Mighty Morphin Power Rangers,Wave 2,1
Karate Kickin Trini,Figure,Power Rangers,Mighty Morphin Power Rangers,Wave 2,1
Power Dome Morphin Playset,Playset,Power Rangers,Mighty Morphin Power Rangers,Wave 2,1
Guitardo,Figure,Power Rangers,Mighty Morphin Power Rangers,Wave 2,1
Goo Fish,Figure,Power Rangers,Mighty Morphin Power Rangers,Wave 2,1
Red Dragon Thunderzord,Vehicle,Power Rangers,Mighty Morphin Power Rangers,Wave 2,1
White Tigerzord with White Ranger,Vehicle,Power Rangers,Mighty Morphin Power Rangers,Wave 2,1
Tor the Shuttlezord,Vehicle,Power Rangers,Mighty Morphin Power Rangers,Wave 2,1
Socadillo,Figure,Power Rangers,Mighty Morphin Power Rangers,Wave 2,1
Snapping Chest Flytrap,Figure,Power Rangers,Mighty Morphin Power Rangers,Wave 3,1
Head Butting Robo Goat,Figure,Power Rangers,Mighty Morphin Power Rangers,Wave 3,1
Evil Light Lord Zed,Figure,Power Rangers,Mighty Morphin Power Rangers,Wave 3,1
Stay-Puft Marshmallow Man,Figure,Real Ghostbusters,Hasbro Retro Ghostbusters,Wave 1,1
Winston Zedmore with Chomper Ghost,Figure,Real Ghostbusters,Hasbro Retro Ghostbusters,Wave 1,1
Ghostzapper,Role Play,Real Ghostbusters,Vintage Real Ghostbusters,Wave 1,1
Gooper Ghost-Sludge Bucket,Figure,Real Ghostbusters,Vintage Real Ghostbusters,Wave 2,1
Bad-Too-The-Bone Ghost,Figure,Real Ghostbusters,Vintage Real Ghostbusters,Wave 2,1
Fright Feature Winston Zedmore,Figure,Real Ghostbusters,Vintage Real Ghostbusters,Wave 3,1
Fright Feature Ray Stantz,Figure,Real Ghostbusters,Vintage Real Ghostbusters,Wave 3,1
Fright Feature Peter Venkman,Figure,Real Ghostbusters,Vintage Real Ghostbusters,Wave 3,1
Fright Feature Egon Spangler,Figure,Real Ghostbusters,Vintage Real Ghostbusters,Wave 3,1
Firehouse,Playset,Real Ghostbusters,Vintage Real Ghostbusters,Wave 3,1
Haunted Human: Ex-Cop,Figure,Real Ghostbusters,Vintage Real Ghostbusters,Wave 4,1
Fright Feature: Janine Melnitz,Figure,Real Ghostbusters,Vintage Real Ghostbusters,Wave 4,1
Finger Pop Fiends,Figure,Real Ghostbusters,Vintage Real Ghostbusters,Wave 6,1
Battle Blaster,Vehicle,Ring Raiders,Ring Raiders,Wave 1,1
Steelwill Ultrasonic Suit,Figure,Silverhawks,Silverhawks,Wave 2,1
Moon Styker with Tail-Spin,Figure,Silverhawks,Silverhawks,Wave 2,1
Bluegrass Ultrasonic Suit,Figure,Silverhawks,Silverhawks,Wave 2,1
Klingon,Figure,Star Trek,Star Trek,Wave 1,1
Doctor McCoy,Figure,Star Trek,Star Trek,Wave 1,1
Captain Kirk,Figure,Star Trek,Star Trek,Wave 1,1
Deadeye and Cricket (Cosmittor),Figure,Starriors,Starriors,Wave 1,1
Windstorm (Vultor),Figure,Starriors,Starriors,Wave 1,1
Twinhorn (Stalkor),Figure,Starriors,Starriors,Wave 1,1
Party Pleasers: Mint Tulip with Marsh Mallard,Figure,Strawberry Shortcake,Vintage Strawberry Shortcake,Wave 5,1
Party Pleasers: Apple Dumplin with TeaTime Turtle,Figure,Strawberry Shortcake,Vintage Strawberry Shortcake,Wave 5,1
