OnHand,Complete,Sealed,Boxed,Item,Type,Property,Line,Wave,match_status,match_strategy,matched_catalog_item_id,matched_catalog_franchise,matched_catalog_property_name,matched_catalog_product_line,matched_catalog_manufacturer,matched_catalog_release_year,matched_catalog_wave,matched_catalog_item_name
1,1,1,1,Spaceship (Red),Vehicle,Blackstar,Blackstar,Wave 1,matched,property+item,226114,Blackstar,Blackstar,Vintage Blackstar,Galoob,1983,Accessories,Space Ship (Red)
1,1,0,1,Palace Guard,Figure,Blackstar,Blackstar,Wave 1,matched,property+item,226125,Blackstar,Blackstar,Vintage Blackstar,Galoob,1983,Basic Series,Palace Guard
1,1,0,0,Laser Light Klone Cloud Cat,Figure,Blackstar,Blackstar,Wave 2,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1,1,1,1,Laser Light Gargo,Figure,Blackstar,Blackstar,Wave 2,matched,property+item,226134,Blackstar,Blackstar,Vintage Blackstar,Galoob,1984,Laser Lights,Laser Light Gargo
1,1,1,1,Laser Light Muton,Figure,Blackstar,Blackstar,Wave 3,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1,1,1,1,Laser Light Vizir,Figure,Blackstar,Blackstar,Wave 3,matched,property+item,226143,Blackstar,Blackstar,Vintage Blackstar,Galoob,1984,Laser Lights,Laser Light Vizir
1,1,1,1,Laser Light White Knight,Figure,Blackstar,Blackstar,Wave 3,matched,property+item,226144,Blackstar,Blackstar,Vintage Blackstar,Galoob,1985,Laser Lights,Laser Light White Knight
1,1,1,1,Outlaw Skuzz,Figure,Bravestarr,Bravestarr,Bravestarr,matched,property+item,248595,BraveStarr,BraveStarr,Vintage BraveStarr,Mattel,1986,Basic Series,Outlaw Skuzz
2,2,2,0,Neutra Laser,Accessory,Bravestarr,Bravestarr,Bravestarr,matched,property+item,248602,BraveStarr,BraveStarr,Vintage BraveStarr,Mattel,1986,Role Play,Neutra-Laser
1,1,0,0,Lenticular Sheriff's Badge,Role Play,Bravestarr,Bravestarr,Bravestarr,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1,1,1,1,Laser-Fire Tex Hex,Figure,Bravestarr,Bravestarr,Bravestarr,matched,property+item,248600,BraveStarr,BraveStarr,Vintage BraveStarr,Mattel,1986,Role Play,Laser-Fire Tex Hex
1,1,1,1,Laser-Fire BraveStarr,Figure,Bravestarr,Bravestarr,Bravestarr,matched,property+item,248599,BraveStarr,BraveStarr,Vintage BraveStarr,Mattel,1986,Role Play,Laser-Fire BraveStarr
3,3,1,3,Laser-Fire Backpack,Accessory,Bravestarr,Bravestarr,Bravestarr,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1,1,1,1,Handle Bar,Figure,Bravestarr,Bravestarr,Bravestarr,matched,property+item,248593,BraveStarr,BraveStarr,Vintage BraveStarr,Mattel,1986,Basic Series,Handle Bar
1,1,1,1,Fort Kerium Command Center with Bank and Jail,Playset,Bravestarr,Bravestarr,Bravestarr,matched,property+item,248587,BraveStarr,BraveStarr,Vintage BraveStarr,Mattel,1986,Accessories,Fort Kerium - Command Center (with Bank & Jail)
1,1,1,1,Fort Kerium Bank and Jail,Playset,Bravestarr,Bravestarr,Bravestarr,matched,property+item,248585,BraveStarr,BraveStarr,Vintage BraveStarr,Mattel,1986,Accessories,Fort Kerium - Bank & Jail
1,1,1,1,Deputy Fuzz,Figure,Bravestarr,Bravestarr,Bravestarr,matched,property+item,248592,BraveStarr,BraveStarr,Vintage BraveStarr,Mattel,1986,Basic Series,Deputy Fuzz
1,1,0,1,Col. Borobot,Figure,Bravestarr,Bravestarr,Bravestarr,matched,property+item,248591,BraveStarr,BraveStarr,Vintage BraveStarr,Mattel,1986,Basic Series,Col. Borobot
1,1,1,1,30-30 Robotic Stallion,Vehicle,Bravestarr,Bravestarr,Bravestarr,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1,1,1,1,Sand Storm,Figure,Bravestarr,Bravestarr,Bravestarr,matched,property+item,248596,BraveStarr,BraveStarr,Vintage BraveStarr,Mattel,1986,Basic Series,Sand Storm
1,1,1,1,Skull Walker,Vehicle,Bravestarr,Bravestarr,Bravestarr,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1,1,1,1,Stratocoach,Vehicle,Bravestarr,Bravestarr,Bravestarr,matched,property+item,248589,BraveStarr,BraveStarr,Vintage BraveStarr,Mattel,1986,Accessories,Stratocoach
1,1,1,1,Thunder Stick,Figure,Bravestarr,Bravestarr,Bravestarr,matched,property+item,248598,BraveStarr,BraveStarr,Vintage BraveStarr,Mattel,1986,Basic Series,Thunder Stick
1,1,1,1,Willy DuWitt,Figure,Bucky O-Hare,Vintage Buck O-Hare,Bucky O-Hare,matched,property+item,271055,Bucky O'Hare,Bucky O'Hare,Vintage Bucky O'Hare,Hasbro,1990,Basic Series,Willy DuWitt
1,1,1,1,Toadborg,Figure,Bucky O-Hare,Vintage Buck O-Hare,Bucky O-Hare,matched,property+item,271054,Bucky O'Hare,Bucky O'Hare,Vintage Bucky O'Hare,Hasbro,1990,Basic Series,Toadborg
