sku,page_url,title,target_name,kind,image_url,match_norm
RBT038,https://collectorarchive.com/rbt038,1986 Matchbox Robotech Loose Action Figure - Lunk,Lunk,loose,https://collectorarchive.com/pub/media/catalog/product/cache/99714ade6c281579c1466b127cb69403/1/0/10212265_1_1.jpg,lunk
RBT039,https://collectorarchive.com/rbt039,1992 Harmony Gold Robotech Carded Action Figure - Rook Bartley,Rook Bartley,packaged,https://collectorarchive.com/pub/media/catalog/product/cache/99714ade6c281579c1466b127cb69403/1/0/10212264_1_1.jpg,rook bartley
RBT040,https://collectorarchive.com/rbt040,1986 Matchbox Robotech Carded Action Figure - Lunk,Lunk,packaged,https://collectorarchive.com/pub/media/catalog/product/cache/99714ade6c281579c1466b127cb69403/2/0/20232917_1_1.jpg,lunk
RBT041,https://collectorarchive.com/rbt041,1986 Matchbox Robotech 6 Inch Series Carded Action Figure - Miriya,Miriya,packaged,https://collectorarchive.com/pub/media/catalog/product/cache/99714ade6c281579c1466b127cb69403/2/0/20232916_1_1.jpg,miriya
RBT042,https://collectorarchive.com/rbt042,1986 Matchbox Robotech 6 Inch Series Carded Action Figure - Khyron,Khyron,packaged,https://collectorarchive.com/pub/media/catalog/product/cache/99714ade6c281579c1466b127cb69403/2/0/20250737_1_1.jpg,khyron
RBT043,https://collectorarchive.com/rbt043,1986 Matchbox Robotech 6 Inch Series Carded Action Figure - Exedore,Exedore,packaged,https://collectorarchive.com/pub/media/catalog/product/cache/99714ade6c281579c1466b127cb69403/2/0/20232918_1_1.jpg,exedore
RBT044,https://collectorarchive.com/rbt044,1986 Matchbox Robotech 6 Inch Series Carded Action Figure - Armoured Zentraedi Warrior,Armoured Zentraedi Warrior,packaged,https://collectorarchive.com/pub/media/catalog/product/cache/99714ade6c281579c1466b127cb69403/2/0/20232559_1_1.jpg,armoured zentraedi warrior
RBT045,https://collectorarchive.com/rbt045,1986 Matchbox Robotech 6 Inch Series Carded Action Figure - Breetai,Breetai,packaged,https://collectorarchive.com/pub/media/catalog/product/cache/99714ade6c281579c1466b127cb69403/2/0/20250738_1_1.jpg,breetai
RBT049,https://collectorarchive.com/rbt049,1986 Matchbox Robotech Loose Vehicle - Tactical Battle Pod,Tactical Battle Pod,loose,https://collectorarchive.com/pub/media/catalog/product/placeholder/default/logo_coming_soon.jpg,tactical battle pod
RBT050,https://collectorarchive.com/rbt050,1994 Harmony Gold Robotech Boxed Action Figure - Zentraedi Powered Armor (Quandrono Battalion),Zentraedi Powered Armor (Quandrono Battalion),packaged,https://collectorarchive.com/pub/media/catalog/product/cache/99714ade6c281579c1466b127cb69403/2/0/20250059_1_1.jpg,zentraedi powered armor quandrono battalion
RBT051,https://collectorarchive.com/rbt051,1985 Harmony Gold / Gakken Robotech Boxed Action Figure - Cyclone W/ Scott Bernard,Cyclone W/ Scott Bernard,packaged,https://collectorarchive.com/pub/media/catalog/product/cache/99714ade6c281579c1466b127cb69403/2/0/20250058_1_1.jpg,cyclone scott bernard
