catalog_item_id,item,quantity_owned,complete,packaged,sealed,access_note_count
730662,#6 Cobra Commander,1,1,1,1,0
730661,#5 Scarlett,1,1,1,1,0
730660,#4 Duke,1,1,1,1,0
730659,#3 Destro,1,1,1,1,0
730666,#15 Destro (Profit Director) (Fan),1,1,1,1,0
730665,#14 Storm Shadow (Arctic Mission) (Amazon),1,1,1,1,0
730657,#1 Roadblock,1,1,1,1,0
730677,#26 Flint,1,1,1,1,0
730676,#25 Lady Jaye,1,1,1,1,0
730675,#24 Cobra Infantry,1,1,1,1,0
730674,#23 Zartan,1,1,1,1,0
16624,Funskool Tunnel Rat,1,1,1,1,0
16623,Funskool Red Dog,1,1,1,1,0
16622,Funskool Law,1,1,1,1,0
16621,Funskool Grunt,1,1,1,1,0
6368617,Mobile Field Walkie Talkie Set,1,1,1,0,1
710039,Zap,1,1,0,0,1
710038,Vamp (repro),1,1,0,0,1
710037,Stalker,1,1,0,0,0
710036,Snake Eyes,1,1,0,0,0
710034,Scarlet,1,1,0,0,1
710033,Rock 'n Roll,1,1,0,0,1
710031,MOBAT,1,1,1,0,0
710026,Grunt,1,1,0,0,1
710025,Flash,1,1,0,0,0
710020,Driver-Clutch,1,1,0,0,0
710019,Cobra Trooper,1,1,0,0,0
710016,Breaker,1,1,0,0,1
710425,Big Ben,1,1,0,0,0
710440,Lifeline (V3): Mail Order,1,1,0,0,0
710429,Dusty (V3),1,1,0,0,1
710428,Desert Scorpion,1,1,0,0,0
710445,Snake Eyes (V4),1,1,1,1,0
710459,Big Bear,1,1,0,0,0
710464,DEF: Headman,1,1,1,1,0
710465,DEF: Mutt & Junkyard (V3),1,1,1,1,0
710484,Ninja Force: Dojo,1,1,0,0,1
710472,Eels (V2),1,1,0,0,0
710471,Eco Warrior: Toxo-Zombie,1,1,0,0,0
710558,Ninja Force: Snake Eyes (V5),1,1,0,0,0
710587,Lobotomaxx,1,1,1,1,0
765116,Iguanas,1,1,1,1,1
765117,Slyther,1,1,1,1,1
765118,War Wolf,1,1,1,1,1
710052,Driver-Cover Girl,1,1,0,0,0
710050,Driver-Cobra H.I.S.S.,1,1,0,0,0
710049,Driver-Ace,1,1,0,0,0
710048,Dragonfly,1,1,0,0,1
710047,Doc,1,1,0,0,0
710046,Destro,1,1,0,0,0
710050,Cobra H.I.S.S. (repro),1,1,0,0,1
710050,Cobra H.I.S.S.,1,1,0,0,1
710043,Cobra Commander,1,1,0,0,1
710042,Chinese Major Bludd,1,1,1,1,0
710041,APC,1,1,1,0,0
710040,Airborn,1,1,0,0,0
710055,Driver-Wild Bill,1,1,0,0,0
710071,Tripwire,2,0,0,0,1
710070,Torpedo,1,1,0,0,0
710069,Snow Job,1,1,0,0,0
710068,Sky Striker,2,0,0,0,1
710074,Wolverine,1,1,1,0,0
710064,Major Bludd,1,1,0,0,0
710061,Headquarters Command Center,1,1,1,0,0
710060,Headquarters,1,1,1,0,0
710059,Gung-Ho,1,1,0,0,0
6399772,Pocket Patrol Pack,2,0,2,0,0
710104,Storm Shadow,1,1,0,0,0
710102,Spirit,1,1,0,0,0
710099,Scrap-Iron,1,1,0,0,0
710106,W.H.A.L.E.,1,1,0,0,1
710098,S.H.A.R.C.,1,1,1,0,0
710097,Roadblock,1,1,0,0,1
710075,Baroness,1,1,0,0,0
710076,Blowtorch,1,1,0,0,0
710077,Chameleon,1,1,0,0,0
710094,Mutt,1,1,0,0,1
710092,Hooded Cobra Commander: Mail Order (V2),1,1,0,0,0
710091,Firefly,1,1,0,0,0
710089,Driver: Zartan,1,1,0,0,0
710088,Driver: Wild Weasel,1,1,0,0,0
710087,Driver: Thunder,1,1,0,0,0
710086,Driver: Deep Six,1,1,0,0,0
710085,Driver: Cutter,1,1,0,0,0
710084,Driver: Copperhead,1,1,0,0,1
710083,Driver: Cobra Stinger Driver,1,1,0,0,0
710081,Cobra Water Moccasin,1,1,1,0,0
710080,Cobra Rattlor,1,1,1,0,0
710114,Buzzer,1,1,1,1,0
710112,Bazooka,1,1,0,0,0
710111,Barbeque,2,0,0,0,1
710109,Alpine,1,1,0,0,1
710108,Airtight,1,1,0,0,1
710114,Buzzer,1,1,0,0,0
710115,Cobra Hydrofoil,1,1,0,0,0
710116,Crimson Guard,1,1,0,0,0
710133,Shipwreck,1,1,0,0,1
710132,Ripper,1,1,0,0,0
710131,Quick Kick,1,1,0,0,1
710130,Moray,1,1,0,0,0
710128,Lady Jaye,1,1,0,0,0
710124,Eels,1,1,0,0,0
710123,Dusty,1,1,0,0,0
710122,Driver: Tollbooth,1,1,0,0,0
710121,Driver: Lampreys,1,1,0,0,0
710120,Driver: Keel Haul,1,1,0,0,0
710118,Driver: Frostbite,1,1,0,0,0
710135,Snake Eyes (V2),1,1,0,0,0
710137,Snow Serpent,1,1,0,0,0
710147,Xamot,1,1,1,1,0
710145,U.S.S. Flag,1,0,0,0,1
710143,Transportable Tactical Battle Platform,1,1,1,0,0
710142,Torch,1,1,0,0,0
710141,Tomax and Xamot,2,0,2,2,0
710140,Tomax,1,1,1,1,0
710139,Tele-Vipers,1,1,0,0,0
710195,Wet-Suit,1,1,0,0,0
710194,Vipers,1,1,0,0,0
710193,Triple T,1,1,1,0,0
710192,Tomahawk,1,1,1,0,0
710191,Terrordrome,1,1,0,0,0
710196,Zandar,1,1,0,0,1
710185,Sgt. Slaughter: Mail Order,1,1,0,0,0
710184,Sci-Fi,1,1,0,0,1
710182,Monkeywrench,1,1,0,0,1
710181,Mainframe,1,1,0,0,0
710180,Low-Light,1,1,0,0,0
710197,Zarana,1,1,0,0,0
710178,Leatherneck,1,1,0,0,1
710176,Iceberg,1,1,0,0,1
710152,Cobra Night Raven,1,1,0,0,0
710150,Beach Head,1,1,0,0,0
710149,B.A.T.S.,1,1,0,0,0
710148,Air Chariot,1,1,1,0,0
710156,Conquest X-30,1,1,1,0,0
710157,Devilfish,1,1,1,0,0
710158,Dial-Tone,1,1,0,0,1
710172,Driver: Thrasher,1,1,0,0,0
710171,Driver: Strato-Viper,1,1,0,0,0
710170,Driver: Slip-Stream,1,1,0,0,0
710167,Driver: Moto Viper,1,1,0,0,0
710166,Driver: Lift-Ticket,1,1,0,0,0
710164,Driver: A.V.A.C,1,1,0,0,0
710163,Dreadnok Thunder Machine,1,1,1,0,0
710162,Dreadnok Swampfire,1,1,1,0,0
710159,Dr. Mindbender,1,1,0,0,0
710216,Cobra-Law: Golobulus,1,1,0,0,0
710215,Cobra WOLF,1,1,1,0,0
710213,Cobra Pogo Ballistic Battle Ball,1,1,1,0,0
710207,Chuckles,1,1,0,0,0
710205,Big Boa,1,1,0,0,0
710217,Cobra-Law: Nemesis Enforcer,1,1,0,0,0
710218,Cobra-Law: Royal Guard,1,1,0,0,0
710220,Croc Master,1,1,0,0,0
710235,Falcon,1,1,0,0,1
710234,Driver: Zanzibar,1,1,0,0,0
710229,Driver: Payload,1,1,0,0,0
710228,Driver: Ice Viper,1,1,0,0,0
710227,Driver: Hardtop,1,1,0,0,0
710226,Driver: Gyro-Viper,1,1,0,0,0
710225,Driver: Backstop,1,1,0,0,0
710223,Defiant,1,1,1,0,1
710222,Crystal Ball,1,1,0,0,0
710238,Jinx,1,1,0,0,0
710254,Tunnel Rat,1,1,0,0,0
710253,The Fridge: Mail Order,1,1,0,0,0
710250,Sneak Peak,1,1,0,0,0
710249,Sgt. Slaughter's Renegades: Taurus,2,0,0,0,1
710248,Sgt. Slaughter's Renegades: Red Dog,1,1,0,0,1
710247,Sgt. Slaughter's Renegades: Mercer,2,0,0,0,1
710244,Raptor,1,1,0,0,0
710243,Psych-Out,1,1,0,0,1
710242,Persuader,1,1,1,0,0
710239,Law & Order,1,1,0,0,1
710314,Voltar,1,1,0,0,0
710300,Stormshadow (V2),1,1,0,0,1
710299,Spearhead & Max,1,1,0,0,1
710273,Driver: Star-Viper,1,1,0,0,0
710270,Driver: Secto-Viper,1,1,0,0,0
710268,Driver: Ghostrider,1,1,0,0,0
710266,Driver: Destro (V2),1,1,0,0,0
710265,Driver: Armadillo,1,1,0,0,0
710279,Iron Grenadiers,1,1,0,0,0
710295,Road Pig,1,1,0,0,0
710295,Road Pig,1,1,1,1,0
710292,Phantom X-19,1,1,1,0,0
710261,Cobra BUGG,1,1,1,0,0
710257,Budo,1,1,0,0,1
710357,Python Patrol: Viper (V2),1,1,0,0,0
710356,Python Patrol: Tele-VIper (V2),1,1,0,0,0
710353,Python Patrol: Crimson Guard (V2),1,1,0,0,0
710352,Python Patrol: Copperhead (V2),1,1,0,0,0
710351,Night-Viper,1,1,0,0,0
710373,Thunderclap,1,1,1,0,0
710370,Snake Eyes (V3),1,1,0,0,0
710363,Scoop,1,1,0,0,1
710342,Iron Grenadiers Darklon's Evader,1,1,1,0,0
710339,Gnawgahyde,1,1,0,0,0
710316,Alley-Viper,1,1,0,0,0
710320,Cobra Condor Z25,1,1,1,0,0
710338,Frag-Viper,1,1,0,0,0
710378,Canadian 25th Anniversary Destro - Blank Card,1,1,1,1,0
710377,Bullhorn,1,1,0,0,1
710375,Ambush,1,1,0,0,0
710399,Night-Creeper,1,1,0,0,1
710397,Metal-Head,1,1,0,0,1
710402,Range-Vipers,1,1,0,0,0
6420738,Rock Lords: A Giant Coloring Book,1,1,0,0,0
872721,Pulver-Eyes,1,1,1,1,0
872704,Narlizard,1,1,1,1,0
872703,Narliphant,1,1,1,1,0
872702,Narlihog,1,1,1,1,0
872718,Granite,1,1,1,1,0
872701,Narligator,1,1,1,1,0
872697,Slimestone,1,1,1,1,0
872714,Boulder,1,1,1,1,0
872716,Crackpot,1,1,1,1,0
6420741,Rock Commander,1,1,1,0,0
1758593,Super Destroyer,1,1,1,0,0
1758588,Super Baron Von Joy,1,1,0,0,0
1758564,Good Knight (34),1,1,0,0,0
1758535,Fright Face,1,1,0,0,0
1758545,Fitor (03),1,1,0,0,0
1758534,Fangs,1,1,0,0,0
1758536,Gore Jaw,1,1,0,0,0
1758647,Monsterous,1,1,0,0,0
1758625,Major Mo (54),1,1,0,0,0
1758547,Loco (05),1,1,0,0,0
1758659,Jig Saw,1,1,0,0,0
1758620,Heat Seeker (52),1,1,0,0,0
1758537,Heart Attack,1,1,0,0,0
1758560,Dive-Dive (15),1,1,0,0,0
1758557,BuggyMan (orange) (39),1,1,0,0,0
6420739,Binoc,1,1,0,0,0
1758606,Bad Boy (55),1,1,0,0,0
1758554,Blaster (green) (25),1,1,0,0,1
1758658,Cross Word,1,1,0,0,0
1758646,Creepy Mail Away Exclusive,1,1,0,0,0
1758614,Creepy (56),1,1,0,0,0
1758558,Crain Brain (24),1,1,0,0,0
1758586,Command Center,1,1,0,0,0
1758664,Tic Tac,1,1,0,0,0
1758648,Thruster,1,1,1,0,0
1758578,Street Heat (36),1,1,0,0,0
1758599,Staks Transport (blue),1,1,1,0,0
