catalog_item_id,franchise,property_name,product_line,release_year,wave,item_name,column,old_url,new_url,old_host,new_host
810341,G.I. Joe,G.I. Joe,2006 G.I.Joe Convention Exclusives,2006,2006 G.I.Joe Convention Exclusives,Cobra Mortal,image_url,https://www.yojoe.com/images/resize/w/MAX/action/06/allgearedup/cobramortal_agu.jpg,https://www.yojoe.com/images/resize/h/375/action/06/images/cobramortal-s.jpg,www.yojoe.com,www.yojoe.com
810346,G.I. Joe,G.I. Joe,2006 G.I.Joe Convention Exclusives,2006,2006 G.I.Joe Convention Exclusives,Overlord,image_url,https://www.yojoe.com/images/resize/w/MAX/action/06/allgearedup/overlord2_agu.jpg,https://www.yojoe.com/images/resize/h/375/action/06/images/overlord2-s.jpg,www.yojoe.com,www.yojoe.com
810350,G.I. Joe,G.I. Joe,Cobra - Direct to Consumer,2006,Cobra - Direct to Consumer,Cobra S.A.W. Viper,packaged_image_url,https://www.yojoe.com/images/resize/h/375/action/06/images/sawviper3.jpg,https://www.yojoe.com/images/resize/w/MAX/action/06/allgearedup/sawviper3.jpg,www.yojoe.com,www.yojoe.com
810364,G.I. Joe,G.I. Joe,Comic 3 Packs - Set #44,2006,Comic 3 Packs - Set #44,Cobra Trooper,image_url,https://www.yojoe.com/images/resize/w/MAX/action/06/allgearedup/cobratrooper4_agu.jpg,https://www.yojoe.com/images/resize/h/375/action/06/images/cobratrooper4-s.jpg,www.yojoe.com,www.yojoe.com
810375,G.I. Joe,G.I. Joe,Plague Troopers vs Steel Brigade (DTC/ Toys R Us exclusive),2006,Plague Troopers vs Steel Brigade (DTC/ Toys R Us exclusive),Gallows,packaged_image_url,https://www.yojoe.com/images/resize/h/375/action/06/images/gallows.jpg,https://www.yojoe.com/images/resize/w/MAX/action/06/allgearedup/gallows_agu.jpg,www.yojoe.com,www.yojoe.com
810376,G.I. Joe,G.I. Joe,Plague Troopers vs Steel Brigade (DTC/ Toys R Us exclusive),2006,Plague Troopers vs Steel Brigade (DTC/ Toys R Us exclusive),Grim Skull,image_url,https://www.yojoe.com/images/resize/w/MAX/action/06/allgearedup/grimskull_agu.jpg,https://www.yojoe.com/images/resize/h/375/action/06/images/grimskull.jpg,www.yojoe.com,www.yojoe.com
810378,G.I. Joe,G.I. Joe,Plague Troopers vs Steel Brigade (DTC/ Toys R Us exclusive),2006,Plague Troopers vs Steel Brigade (DTC/ Toys R Us exclusive),Red Zone,packaged_image_url,https://www.yojoe.com/images/resize/h/375/action/06/images/redzone.jpg,https://www.yojoe.com/images/resize/w/MAX/action/06/allgearedup/redzone_agu.jpg,www.yojoe.com,www.yojoe.com
810381,G.I. Joe,G.I. Joe,Viper Lockdown (DTC exclusive),2006,Viper Lockdown (DTC exclusive),Cobra Viper Guard,image_url,https://www.yojoe.com/images/resize/w/MAX/action/06/allgearedup/viperguard.jpg,https://www.yojoe.com/images/resize/h/375/action/06/images/viperguard.jpg,www.yojoe.com,www.yojoe.com
810383,G.I. Joe,G.I. Joe,Viper Lockdown (DTC exclusive),2006,Viper Lockdown (DTC exclusive),G.I. Joe,packaged_image_url,https://www.yojoe.com/images/resize/h/375/action/06/images/gijoe2.jpg,https://www.yojoe.com/images/resize/w/MAX/action/06/allgearedup/gijoe2.jpg,www.yojoe.com,www.yojoe.com
810564,G.I. Joe,G.I. Joe,"Extreme Conditions, set 1 of 2: Desert Assault Squad",2008,"Extreme Conditions, set 1 of 2: Desert Assault Squad",Cobra Trooper,packaged_image_url,https://www.yojoe.com/images/resize/h/375/action/08/images/cobratrooper11.jpg,https://www.yojoe.com/images/resize/h/375/action/08/images/cobratrooper12.jpg,www.yojoe.com,www.yojoe.com
810566,G.I. Joe,G.I. Joe,"Extreme Conditions, set 1 of 2: Desert Assault Squad",2008,"Extreme Conditions, set 1 of 2: Desert Assault Squad",Cobra Trooper,packaged_image_url,https://www.yojoe.com/images/resize/h/375/action/08/images/cobratrooper13.jpg,https://www.yojoe.com/images/resize/h/375/action/08/images/cobratrooper12.jpg,www.yojoe.com,www.yojoe.com
810573,G.I. Joe,G.I. Joe,"Extreme Conditions, set 2 of 2: Arctic Assault Squad",2008,"Extreme Conditions, set 2 of 2: Arctic Assault Squad",Snow Serpent Trooper,packaged_image_url,https://www.yojoe.com/images/resize/h/375/action/08/images/snowserpent9a.jpg,https://www.yojoe.com/images/resize/h/375/action/08/images/snowserpent9b.jpg,www.yojoe.com,www.yojoe.com
810583,G.I. Joe,G.I. Joe,G.I. Joe - 25th Anniversary,2008,G.I. Joe - 25th Anniversary,Duke,packaged_image_url,https://www.yojoe.com/images/resize/h/375/action/08/images/duke28.jpg,https://www.yojoe.com/images/resize/h/375/action/08/images/duke26.jpg,www.yojoe.com,www.yojoe.com
810649,G.I. Joe,G.I. Joe,2009 Convention Exclusives,2009,2009 Convention Exclusives,Crimson Twin,packaged_image_url,https://www.yojoe.com/images/resize/h/375/action/09/images/crimsontwina.jpg,https://www.yojoe.com/images/resize/h/375/action/09/images/crimsontwinb.jpg,www.yojoe.com,www.yojoe.com
810813,G.I. Joe,G.I. Joe,Rise of Cobra - G.I. Joe,2009,Rise of Cobra - G.I. Joe,"Wallace ""Ripcord"" Weems",packaged_image_url,https://www.yojoe.com/images/resize/h/375/action/09/images/ripcord3.jpg,https://www.yojoe.com/images/resize/h/375/action/09/images/ripcord2.jpg,www.yojoe.com,www.yojoe.com
850651,G.I. Joe,G.I. Joe,Vehicles,2004,Vehicles,Ninja Lightning Cycle,image_url,https://www.yojoe.com/images/resize/w/350/vehicles/04/ninjalightningcycle2/iso.jpg,https://www.yojoe.com/images/resize/w/350/vehicles/04/ninjalightningcycle/iso.jpg,www.yojoe.com,www.yojoe.com
850660,G.I. Joe,G.I. Joe,Vehicles,2004,Vehicles,Tigerhawk,image_url,https://www.yojoe.com/images/resize/w/350/vehicles/04/tigerhawk2/iso.jpg,https://www.yojoe.com/images/resize/w/350/vehicles/04/tigerhawk/title.jpg,www.yojoe.com,www.yojoe.com
850722,G.I. Joe,G.I. Joe,Past and Present (Target Exclusive),2009,Vehicles,Rockslide ATAV,image_url,https://www.yojoe.com/images/resize/w/350/imagestore/3134/31979.jpg,https://www.yojoe.com/images/resize/w/350/imagestore/3133/31960.jpg,www.yojoe.com,www.yojoe.com
850740,G.I. Joe,G.I. Joe,Vehicle Sets (Target Exclusive),2009,Vehicles,Arashikage Cycle,image_url,https://www.yojoe.com/images/resize/w/350/vehicles/09/arashikagecycle2/arashikagecycle2_title.jpg,https://www.yojoe.com/images/resize/w/350/vehicles/09/arashikagecycle/arashikagecycle_title.jpg,www.yojoe.com,www.yojoe.com
1059796,Jem,Jem and the Holograms,Vintage Jem,1986,Wave 1,Aja,packaged_image_url,https://www.figurerealm.com/galleries/jemandtheholograms/thumb_Aja-Dolls-Front.jpg,https://rockjem.com/images/dolls/dollajab.png,www.figurerealm.com,rockjem.com
1059804,Jem,Jem and the Holograms,Vintage Jem,1986,Wave 1,Jem/Jerrica,packaged_image_url,https://www.figurerealm.com/galleries/jemandtheholograms/thumb_JemJerrica-Doll-Front.jpg,https://rockjem.com/images/dolls/dolljemc.png,www.figurerealm.com,rockjem.com
1059807,Jem,Jem and the Holograms,Vintage Jem,1986,Wave 1,Kimber,packaged_image_url,https://www.figurerealm.com/galleries/jemandtheholograms/thumb_Kimber-Dolls-Front.jpg,https://rockjem.com/images/dolls/dollkimberb.png,www.figurerealm.com,rockjem.com
1059821,Jem,Jem and the Holograms,Vintage Jem,1986,Wave 1,Pizzazz,packaged_image_url,https://www.figurerealm.com/galleries/jemandtheholograms/thumb_Pizzazz-Dolls-Front.jpg,https://rockjem.com/images/dolls/dollpizzazzb.png,www.figurerealm.com,rockjem.com
1059823,Jem,Jem and the Holograms,Vintage Jem,1986,Wave 1,Rio,packaged_image_url,https://www.figurerealm.com/galleries/jemandtheholograms/thumb_Rio-Doll-Front.jpg,https://rockjem.com/images/dolls/dollriob.png,www.figurerealm.com,rockjem.com
