catalog_item_id,franchise,property_name,product_line,release_year,wave,item_name,kind,host,url,source_url,new_url,new_source_name,new_source_url,source_item_title,source_release_year,source_series,score,reasons
4210593,X-Men,X-Men,Toy Biz X-Men,1996,Canadian 2-Pack - Series Light Up Weapons,Nightcrawler & Wolverine,loose,www.figurerealm.com,https://www.figurerealm.com/galleries/xmen/NightcrawlerWolverine-Canadian2PackSeriesLightUpWeapons-Front.jpg,https://www.figurerealm.com/actionfigure?action=actionfigure&id=126199&figure=nightcrawlerampwolverine,https://www.toymania.com/archives/xmen/ncrwler.jpg,Toymania X-Men Archive,https://www.toymania.com/archives/xmen/ncrwler.shtml,Nightcrawler,1991,Series I - 1991,63,name;year_mismatch:1991;wave_hint;kind
4210593,X-Men,X-Men,Toy Biz X-Men,1996,Canadian 2-Pack - Series Light Up Weapons,Nightcrawler & Wolverine,loose,www.figurerealm.com,https://www.figurerealm.com/galleries/xmen/NightcrawlerWolverine-Canadian2PackSeriesLightUpWeapons-Front.jpg,https://www.figurerealm.com/actionfigure?action=actionfigure&id=126199&figure=nightcrawlerampwolverine,https://www.toymania.com/archives/xmen/ncrwlerc.jpg,Toymania X-Men Archive,https://www.toymania.com/archives/xmen/ncrwler.shtml,Nightcrawler,1991,Series I - 1991,63,name;year_mismatch:1991;wave_hint;kind
4210593,X-Men,X-Men,Toy Biz X-Men,1996,Canadian 2-Pack - Series Light Up Weapons,Nightcrawler & Wolverine,loose,www.figurerealm.com,https://www.figurerealm.com/galleries/xmen/NightcrawlerWolverine-Canadian2PackSeriesLightUpWeapons-Front.jpg,https://www.figurerealm.com/actionfigure?action=actionfigure&id=126199&figure=nightcrawlerampwolverine,https://www.toymania.com/archives/xmen/ncrwlera.jpg,Toymania X-Men Archive,https://www.toymania.com/archives/xmen/ncrwler.shtml,Nightcrawler,1991,Series I - 1991,63,name;year_mismatch:1991;wave_hint;kind
4210593,X-Men,X-Men,Toy Biz X-Men,1996,Canadian 2-Pack - Series Light Up Weapons,Nightcrawler & Wolverine,loose,www.figurerealm.com,https://www.figurerealm.com/galleries/xmen/NightcrawlerWolverine-Canadian2PackSeriesLightUpWeapons-Front.jpg,https://www.figurerealm.com/actionfigure?action=actionfigure&id=126199&figure=nightcrawlerampwolverine,https://www.toymania.com/archives/xmen/ncrwlerd.jpg,Toymania X-Men Archive,https://www.toymania.com/archives/xmen/ncrwler.shtml,Nightcrawler,1991,Series I - 1991,63,name;year_mismatch:1991;wave_hint;kind
4210596,X-Men,X-Men,Toy Biz X-Men,1995,Classics,Gambit,loose,www.figurerealm.com,https://www.figurerealm.com/galleries/xmen/Gambit-Classics-1.jpg,https://www.figurerealm.com/actionfigure?action=actionfigure&id=1520&figure=gambit,https://www.toymania.com/archives/xmen/gambit.jpg,Toymania X-Men Archive,https://www.toymania.com/archives/xmen/gambit.shtml,Gambit Gambit,1992,Series III - 1992,53,name;year_mismatch:1992;kind
4210596,X-Men,X-Men,Toy Biz X-Men,1995,Classics,Gambit,packaged,www.figurerealm.com,https://www.figurerealm.com/galleries/xmen/Gambit-Classics-Front.jpg,https://www.figurerealm.com/actionfigure?action=actionfigure&id=1520&figure=gambit,https://www.toymania.com/archives/xmen/gambit.jpg,Toymania X-Men Archive,https://www.toymania.com/archives/xmen/gambit.shtml,Gambit Gambit,1992,Series III - 1992,25,name;year_mismatch:1992;loose_for_packaged
4210618,X-Men,X-Men,Toy Biz X-Men,1998,Exclusives - KayBee - Series 1,Bishop,packaged,www.figurerealm.com,https://www.figurerealm.com/galleries/xmen/Bishop-KB-Front.jpg,https://www.figurerealm.com/actionfigure?action=actionfigure&id=63747&figure=bishop,https://www.toymania.com/archives/xmen/bishop.jpg,Toymania X-Men Archive,https://www.toymania.com/archives/xmen/bishop.shtml,Bishop,1993,Series IV - 1993,35,name;year_mismatch:1993;wave_hint;loose_for_packaged
4210619,X-Men,X-Men,Toy Biz X-Men,1998,Exclusives - KayBee - Series 1,Colossus,loose,www.figurerealm.com,https://www.figurerealm.com/galleries/xmen/Colossus-KaybeeExclusives-1.jpg,https://www.figurerealm.com/actionfigure?action=actionfigure&id=125976&figure=colossus,https://www.toymania.com/archives/xmen/colossus.jpg,Toymania X-Men Archive,https://www.toymania.com/archives/xmen/colossus.shtml,Colossus,1991,Series I - 1991,63,name;year_mismatch:1991;wave_hint;kind
4210619,X-Men,X-Men,Toy Biz X-Men,1998,Exclusives - KayBee - Series 1,Colossus,packaged,www.figurerealm.com,https://www.figurerealm.com/galleries/xmen/Colossus-KaybeeExclusives-Front.jpg,https://www.figurerealm.com/actionfigure?action=actionfigure&id=125976&figure=colossus,https://www.toymania.com/archives/xmen/colossus.jpg,Toymania X-Men Archive,https://www.toymania.com/archives/xmen/colossus.shtml,Colossus,1991,Series I - 1991,35,name;year_mismatch:1991;wave_hint;loose_for_packaged
4210621,X-Men,X-Men,Toy Biz X-Men,1998,Exclusives - KayBee - Series 1,Strong Guy,packaged,www.figurerealm.com,https://www.figurerealm.com/galleries/xmen/StrongGuy-Front.jpg,https://www.figurerealm.com/actionfigure?action=actionfigure&id=125970&figure=strongguy,https://www.toymania.com/archives/xmen/strnguyBB.jpg,Toymania X-Men Archive,https://www.toymania.com/archives/xmen/strngguy.shtml,Strong Guy,1993,Series IV - 1993,35,name;year_mismatch:1993;wave_hint;loose_for_packaged
4210629,X-Men,X-Men,Toy Biz X-Men,1998,Exclusives - KayBee - Series 3,Longshot,packaged,www.figurerealm.com,https://www.figurerealm.com/galleries/xmen/Longshot-KB-Front.jpg,https://www.figurerealm.com/actionfigure?action=actionfigure&id=1539&figure=longshot,https://www.toymania.com/archives/xmen/longshotBB.jpg,Toymania X-Men Archive,https://www.toymania.com/archives/xmen/longshot.shtml,Longshot,1993,Series V - 1993,35,name;year_mismatch:1993;wave_hint;loose_for_packaged
4210636,X-Men,X-Men,Toy Biz X-Men,1998,Exclusives - KayBee - Series 4,Juggernaut,packaged,www.figurerealm.com,https://www.figurerealm.com/galleries/xmen/Juggernaut-KB-Front.jpg,https://www.figurerealm.com/actionfigure?action=actionfigure&id=1538&figure=juggernaut,https://www.toymania.com/archives/xmen/juggrnt.jpg,Toymania X-Men Archive,https://www.toymania.com/archives/xmen/juggrnt.shtml,Juggernaut,1991,Series I - 1991,35,name;year_mismatch:1991;wave_hint;loose_for_packaged
4210636,X-Men,X-Men,Toy Biz X-Men,1998,Exclusives - KayBee - Series 4,Juggernaut,packaged,www.figurerealm.com,https://www.figurerealm.com/galleries/xmen/Juggernaut-KB-Front.jpg,https://www.figurerealm.com/actionfigure?action=actionfigure&id=1538&figure=juggernaut,https://www.toymania.com/archives/xmen/juggrntc.jpg,Toymania X-Men Archive,https://www.toymania.com/archives/xmen/juggrnt.shtml,Juggernaut,1991,Series I - 1991,35,name;year_mismatch:1991;wave_hint;loose_for_packaged
